#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
A0|SRT3|41.066178|44.32206|1474.0|Saratovka||
A2|AGVN|39.359078|46.318143|1824.0|Aghvani||
A2|ARZK|40.428408|44.589914|1561.0|Arzakan||
A2|KCHK|39.610717|45.199504|1764.0|Khachik||
A2|LRNG|40.258703|43.873974|1077.0|LERNAGOG||
A2|SHMT|40.943472|44.804487|1594.0|Shamut||
A2|SVZR|39.920301|45.471962|2236.0|Sevadzayr||
A2|TTJR|40.597151|45.365255|1966.0|Ttujur||
A2|ZRSH|40.990359|43.67155|2161.0|Zarishat||
AB|BAKI|40.37192|49.813625|65.0|Baki, Azerbaijan||
AB|DSKN|40.457049|46.022972|1731.0|Dashkesen,Azerbaijan||
AB|HASN|39.336076|49.217978|-26.0|Hasanabad,Azerbaijan||
AB|MV02|40.294908|49.669228|-23.0|Puta, Azerbaijan||
AB|MV03|40.362366|49.741661|10.0|Gobu, Azerbaijan||
AB|MV04|40.487966|49.864344|25.0|Mehdiabad, Azerbaijan||
AB|MV05|40.432028|49.692363|208.0|Atyali,Azerbaijan||
AB|MV06|40.373327|49.68128|143.0|Guzdek, Azerbaijan||
AB|MV07|40.356546|49.604843|20.0|Shongar, Azerbaijan||
AB|MV08|40.136053|49.059994|50.0|Gubalibalaoglan, Azerbaijan||
AB|MV10|40.282382|49.284748|158.0|Cheyildag, Azerbaijan||
AB|MV11|40.16482|49.458387|-23.0|Sanghachal, Azerbaijan||
AB|MV12|40.505963|49.261836|362.0|Cengi, Azerbaijan||
AB|PRLH|40.401754|50.332841|-26.0|Pirallahi,Azerbaijan||
AB|RSXM|40.370211|49.83166|39.0|Azerbaijan, Baku, RSSC||
AB|SHUR|40.756199|49.477063|-22.0|Sitalchay, Azerbaijan||
AB|SUMQ|40.605138|49.646622|0.0|Sumqayit, Azerbaijan||
AB|TELL|41.760905|48.643566|27.0|Tel, Azerbaijan||
AB|TOVZ|40.732552|45.563321|1434.0|Tovuz, Azerbaijan||
AB|UFAZ|40.376877|49.851387|-9.0|Azerbaijan, UFAZ||
AB|YLVJ|41.214037|49.106073|-22.0|Yalavanc, Azerbaijan||
AB|YNKD|39.712357|49.080931|-15.0|Yenikend,Salyan,Azerbaijan||
AB|ZRNV|40.800111|48.346606|1290.0|Zarnava, Azerbaijan||
AC|BCI|42.3666|20.067499|500.0|Bajram Curri, Albania||
AC|KBN|40.6236|20.787399|800.0|Korce, Albania||
AC|LSK|40.149899|20.5987|960.0|LSK||
AC|PHP|41.6847|20.4408|670.0|Peshkopi, Albania||
AC|SRN|39.880001|20.0005|20.0|Sarande, Albania||
AC|TIR|41.347691|19.865|247.0|Tirane, Albania||
AC|TPE|40.294701|20.009399|273.0|Tepelene, Albania||
AC|VLO|40.468601|19.495501|80.0|Vlore, Albania||
AE|113A|32.768299|-113.766701|118.0|Mohawk Valley, Roll, AZ, USA||
AE|214A|31.9559|-112.811501|543.0|Organ Pipe National Monument, Ajo, AZ, USA||
AE|319A|31.3757|-109.280899|1187.0|Douglas, AZ, USA||
AE|BABIT|35.745548|-112.422218|1693.6|Valle/Cataract Creek||
AE|DOVA|35.307304|-111.73078|2505.0|Flagstaff||
AE|DUN6|32.553799|-109.090103|1259.0|Lazy B Ranch||
AE|HANNA|33.63636|-109.32029|2796.0|Alpine/Hannagan Meadow||
AE|LOGN|36.352953|-113.198284|2296.0|Mt. Logan, AZ, USA||
AE|PRCT|35.055786|-112.710289|1410.0|Prescott||
AE|U15A|36.428001|-112.291496|2489.0|North Rim, AZ, USA||
AE|W13A|35.097382|-113.894318|2113.0|Hualapai Mountain Park, Kingman, AZ, USA||
AE|W18A|35.118099|-109.735703|1750.0|Petrified Forest, AZ, USA||
AE|X16A|34.417801|-111.441101|1759.4|Lo Mia Camp, Pine, AZ, USA||
AE|X18A|34.529301|-109.950104|1751.0|Snowflake, AZ, USA||
AE|Y14B|34.05799|-113.113267|765.8|Wickenburg, AZ, USA||
AF|POGA|-27.346|31.707|290.0|Pongola, Kwazulu-Natal, South Africa||
AF|WIN|-22.5667|17.1|1728.0|Windhoek, Namibia||
AG|CCAR|33.917|-91.772|72.0|Cane Creek, AR||
AG|COVE|35.77591|-91.82581|160.0|Bethesda Arkansas temp station||
AG|EN5|35.195833|-92.223056|100.584|Enola, Arkansas, temp deployment||
AG|FCAR|35.89|-92.124|190.0|Ozark Folk Center,AR||
AG|HHAR|36.282|-93.94|421.0|Hobbs,AR||
AG|LCAR|36.07|-91.154|103.0|Lake Charles,AR||
AG|SHV1|32.7319|-93.7748|68.0|Benton, LA, temp station||
AG|U40A|36.3563|-92.8535|374.0|Yellville, AR||
AG|WHAR|35.29|-92.289|184.0|Woolly Hollow State Park,AR||
AG|WLAR|33.688|-93.112|77.0|White Oak Lake,AR||
AG|X40A|34.4873|-92.8342|158.0|Basin Creek Farm, Marlvern, AR||
AG|X704|35.445721|-91.692437|109.7|AG.X704 temp station, Sunnydale, Arkansas (formerly AG.X703)||
AG|Z41A|33.2577|-92.803|62.0|Richland Creek Farm, El Dorado, AR||
AI|BELA|-77.875|-34.6269|262.0|BELGRANO II Permanent Argentinean Antarctic Base||
AI|DSPA|-53.953602|-68.2668|151.0|Despedida Farm-Tierra del Fuego||
AI|ESPZ|-63.398102|-56.996399|31.0|ESPERANZA Permanent Argentinean Antarctic Base||
AI|ORCD|-60.738098|-44.736099|20.0|Orcadas Permanent Argentinean Antarctic Base||
AI|SMAI|-68.130203|-67.105904|9.0|San Martin Permanent Argentinean Antarctic Base||
AK|A19K|70.2043|-161.0713|24.0|Wainwright, AK, USA||
AK|A21K|71.3221|-156.6175|5.0|Barrow, AK, USA||
AK|A22K|71.0033|-154.9742|6.0|Sinclair Lake, AK, USA||
AK|ANM|64.5646|-165.3732|338.0|Anvil Mountain, AK, USA||
AK|ATKA|52.2016|-174.1975|55.0|Atka Island, AK, USA||
AK|B18K|69.3641|-161.8016|222.0|Kokolik River, AK, USA||
AK|B20K|70.0079|-157.1599|74.6|Meade River, AK, USA||
AK|B22K|70.34|-153.4196|49.7|Teshekpuk Lake, AK, USA||
AK|BAE|61.1319|-148.1234|578.0|Barry Arm East, AK, USA||
AK|BAGL|60.4896|-142.0915|1470.0|Bagley Icefield, AK, USA||
AK|BAL|61.036|-142.3462|1318.0|Baldy Mountain, AK, USA||
AK|BARK|60.403|-142.4931|1389.6|Barkley Ridge, AK, USA||
AK|BARN|61.0595|-141.6622|1689.0|Barnard Glacier, AK, USA||
