#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
C1|VA05|-33.65711|-71.61428|80.0|Santo Domingo||
C1|VA06|-32.56117|-71.29765|80.0|CATAPILCO||
C8|BCOV|50.5442|-126.8427|33.0|Beaver Cove, BC, CA||
C8|ELNB|45.8545|-65.1513|167.0|Elgin, NB, CA||
C8|GRIB|53.3385|-129.1383|418.0|Gribbell Island, BC, CA||
C8|HKNB|45.9783|-65.3801|164.0|Havelock Quarry, NB, CA||
C8|PCAQ|49.7311|-62.9416|15.0|Pointe Carleton Anticosti, QC, CA||
C8|SV2S|49.088|-103.0868|553.0|Aquistore SW01, SK, CA||
C8|SV4S|49.0866|-103.074|550.0|Aquistore SE01, SK, CA||
C8|SV5S|49.1021|-103.063|550.0|Aquistore NE02, SK, CA||
CA|ARBS|42.434492|1.533754|2145.0|La Rabassa||
CA|CARA|42.707643|0.818132|1627.0|Aran||
CA|CAVN|41.881578|0.750608|634.0|Les Avellanes||
CA|CBEU|42.255629|2.675797|824.0|Beuda||
CA|CBRU|42.284408|2.179001|1327.0|Bruguera||
CA|CBUD|40.7044|0.8263|5.0|Illa de Buda||
CA|CCAS|41.882875|2.904141|197.0|Cassa de la Selva||
CA|CEST|42.598651|1.254059|1325.0|Esterri de Cardos||
CA|CFAR|40.5604|0.6614|2.0|Far de la Banya||
CA|CFON|41.761185|2.434581|973.0|Fontmartina||
CA|CGAR|41.293309|1.913703|584.0|Garraf||
CA|CLLI|42.478105|1.972973|1413.0|Llivia||
CA|CMAS|40.72568|0.313875|530.0|Mas de Barberans||
CA|CORG|42.229088|1.316531|720.0|Organya||
CA|CORI|41.972401|2.048795|621.0|Orista||
CA|CPAL|42.310533|3.16244|212.0|Palau-saverdera||
CA|CSOR|42.374429|1.132743|1227.0|Soriguera||
CA|CTRE|42.322275|0.77236|1318.0|Tremp||
CC|ARAT|46.789|-121.853|1822.44|Mount Ararat||
CC|ASBU|43.82056|-121.368401|1538.0|Astronaut Butte||
CC|BRSP|45.40155|-121.70843|2080.03|Barrett Spur||
CC|CARB|46.98832|-122.00541|872.47|Carbon Repeater||
CC|CLNP|43.07806|-122.118696|1785.0|Crater Lake North Pole||
CC|CLWG|42.9726|-122.071306|2049.17|Crater Lake Wine Glass||
CC|COPP|46.79798|-121.82875|1895.0|Copper Mountain||
CC|CPCO|43.72201|-121.23319|2135.0|Central Pumice Cone, Newberry Volcano||
CC|CRBN|46.988155|-121.961026|500.08|Carbon River Ranger Station||
CC|CRYS|46.93441|-121.50026|2027.15|Crystal Mountain||
CC|ELBE|46.76645|-122.19329|386.0|Elbe Fire Station||
CC|FLAT|46.18951|-122.35646|0.0|Flattop (PEPRO)||
CC|GNOB|46.79414|-121.91438|1659.36|Gobblers Knob Seismic||
CC|GRWR|47.11343|-121.61437|589.68|Greenwater Fire Station||
CC|GTWY|46.740208|-121.916966|617.235|Gateway Entrance Station||
CC|HIYU|45.43523|-121.807396|1418.0|Hiyu Mountain||
CC|HOA|46.24178|-122.19183|1151.0|Hoala||
CC|HORC|46.057765|-121.539055|830.1|Horse Camp||
CC|HUSB|44.119455|-121.849361|2038.0|The Husband||
CC|JRO|46.27527|-122.21826|1219.0|Johnston Ridge Observatory||
CC|KAUT|46.730263|-121.857381|689.0|Kautz Creek Helibase||
CC|KAVK|46.76041|-122.03856|532.0|Kavik - Ashford Fire Station||
CC|KWBU|43.752399|-121.311852|1783.0|Kawak Butte||
CC|LONR|47.00989|-121.67369|1639.53|Lonesome Lake Unique||
CC|LOO|46.22375|-122.18439|1521.35|Loowit||
CC|LSON|45.3596|-121.64719|1881.0|Lamberson Butte||
CC|MAR|46.28532|-122.29667|679.27|Maratta||
CC|MHX|45.34451|-121.67287|2003.82|Mount Hood Express||
CC|MILD|46.8081|-121.77568|2015.59|Mildred Point||
CC|MOJO|46.11254|-121.571358|1150.62|Morrison||
CC|NFT|46.27|-122.25611|818.16|North Fork Toutle||
CC|NORM|43.73896|-121.252678|2181.65|North Rim, Newberry Volcano||
CC|OBSR|46.899719|-121.815331|2382.0|Observation Rock||
CC|OPCH|46.731288|-121.5713|593.43|Ohanapecosh Administrative Area||
CC|PALI|47.0777|-121.7105|1420.52|Palisades||
CC|PALM|45.358574|-121.705536|2590.0|Top of Palmer Lift||
CC|PANH|46.859032|-121.642592|2086.0|Panhandle Gap||
CC|PARA|46.786441|-121.742195|1651.18|Paradise Precip Tower||
CC|PR01|46.910103|-122.037586|648.0|Puyallup River 01||
CC|PR02|46.918303|-122.048695|461.0|Puyallup River 02||
CC|PR03|46.903433|-122.032691|523.0|Puyallup River 03||
CC|PR04|46.929773|-121.988592|908.0|Puyallup River 04||
CC|PR05|46.841723|-121.948863|1553.0|Puyallup River 05||
CC|PRLK|44.20975|-121.96264|1283.0|Prince Lake||
CC|REM|46.2002|-122.1855|1905.44|Rembrant, Mount St. Helens||
CC|RUSH|46.90305|-121.94419|1235.0|Rushingwater Creek||
CC|SEP|46.19978|-122.190857|2114.0|September lobe, Mt. St. Helens (Dome sta)||
CC|SHRK|45.464317|-121.52877|1318.7|Shell Rock||
CC|SIFT|46.86683|-121.95329|732.0|Swift Creek||
CC|SQCH|46.21581|-122.18914|1664.22|Squatch||
CC|SRUC|43.87773|-121.41258|1332.98|Sun River Utilities Company||
CC|STD|46.23749|-122.22421|1189.0|Studebaker Ridge, Mount St. Helens||
CC|STYX|46.963747|-122.080535|568.31|STYX, Puyallup River, WA, USA||
CC|SUG|46.215549|-122.176262|1859.0|Sugar Bowl||
CC|SUNT|47.04005|-121.59674|1598.15|Sun Top||
CC|SVIC|43.643082|-121.253273|1765.0|Surveyor's Cave, OR, USA||
CC|SWF2|46.178349|-122.216766|1548.0|Southwest Flank 2, Mount St. Helens||
CC|SWNB|43.67274|-121.35535|1569.0|Southwest Newberry, Newberry Volcano||
CC|TABR|46.80435|-121.84948|1278.18|Tahoma Bridge||
CC|TAVI|46.7957|-121.88423|1054.65|Tahoma Vista||
CC|TCBU|44.24083|-121.66438|1646.0|Trout Creek Butte||
CC|TIMB|45.33572|-121.710358|1869.0|Timberline, OR||
CC|TRON|46.9977|-122.1753|252.74|Electron Hydro, WA, USA||
CC|UNFR|46.27251|-122.291983|884.0|Upper North Fork Repeater||
CC|USF|46.21166|-122.25127|1002.97|Upper South Fork Toutle River||
CC|USFR|46.215333|-122.232778|1341.75|Upper South Fork Repeater||
CC|VOIT|46.96636|-121.98328|977.15|Voight Creek||
CC|WIFE|44.05966|-121.81746|1955.0|The Wife||
CC|WIZ|42.934181|-122.149208|1884.0|Crater Lake, Wizard Island, OR||
CC|WOW|46.78003|-121.8851|875.45|Mount Wow||
CC|YOCR|45.379178|-121.743539|1913.69|Yocum Ridge||
CH|BRANT|46.938011|6.47298|1145.0|Les Verrieres||
CH|FIESA|46.43521|8.11051|2340.5|Fiescheralp, VS||
CH|FUORN|46.620334|10.263551|2286.0|Ofenpass-Fuorn, GR||
CH|HASLI|46.756809|8.15117|1280.0|Hasliberg/Brienz||
CH|LIENZ|47.294601|9.4927|1720.0|Kamor / St. Gall||
CH|MUGIO|45.92186|9.04167|830.0|Muggio||
CH|SENIN|46.36335|7.2993|2035.0|Lac Selin/Sanetsch||
CH|SLE|47.7645|8.49236|648.0|Schleitheim, SH||
CI|ADO|34.55046|-117.43391|908.0|Adelanto Receiving||
CI|ARV|35.1269|-118.83009|258.0|Arvin||
CI|BAK|35.34444|-119.10445|116.0|Calstate Bakersfield||
CI|BAR|32.68005|-116.67215|529.0|Barrett||
CI|BBR|34.2623|-116.92075|2069.0|Big Bear Solar Observatory||
CI|BC3|33.65515|-115.45366|1137.0|Big Chuckawalla Mtns||
CI|BEL|34.0006|-115.9982|1388.0|Belle Mountain Joshua Tree||
CI|BFS|34.23883|-117.65853|1312.0|Mt. Baldy Ranger Station||
CI|CHF|34.33341|-118.02585|1594.0|Chilao Flat Rngr Sta||
CI|CIA|33.401898|-118.415021|477.0|Catalina Island Airport||
CI|CWC|36.439047|-118.080495|1569.49|Cottonwood Creek||
CI|DAN|34.63745|-115.38115|428.0|Danby||
CI|DEC|34.25353|-118.33383|519.0|Green Verdugo Site||
CI|DGR|33.65001|-117.00947|650.0|Domenigoni||
CI|DJJ|34.10618|-118.45505|268.0|Donna Jones Jenkins||
CI|EDW2|34.8811|-117.99388|772.0|Edwards 2||
CI|FMP|33.71264|-118.29381|89.0|Fort Macarthur Park||
CI|FUR|36.46703|-116.86322|-37.0|Furnace Creek||
CI|GLA|33.05149|-114.82706|610.0|Glamis||
CI|GMR|34.78457|-115.65994|1326.0|Granite Mountains Research Center||
CI|GRA|36.99608|-117.36621|689.0|Grapevine Ranger Station||
CI|GSC|35.30177|-116.80574|1000.0|Goldstone||
CI|HEC|34.8294|-116.335|920.0|Hector||
CI|IKP|32.65012|-116.10948|906.0|In-Ko-Pah||
CI|IRM|34.15738|-115.14513|567.0|Iron Mountain||
CI|ISA|35.66278|-118.47403|873.0|Isabella||
CI|LRL|35.47954|-117.68212|1340.0|Laurel Mtn||
CI|MLAC|37.63019|-118.83605|2162.0|Mammoth||
CI|MPM|36.05799|-117.48901|1839.0|Manuel Prospect Mine||
CI|MPP|34.88848|-119.81362|1739.0|Mcpherson Peak||
CI|MUR|33.59999|-117.19543|562.0|Murrieta||
CI|MWC|34.22362|-118.05832|1725.0|Mount Wilson Obsv||
CI|NEE2|34.76759|-114.61881|271.0|Needles Airport||
CI|OSI|34.6145|-118.7235|718.0|Osito Audit: Castaic Lake||
CI|PASC|34.17141|-118.18523|341.0|Art Center College of Design (GSN-affiliate)||
CI|PDM|34.30336|-114.14152|144.0|Parker||
CI|PLM|33.35361|-116.86265|1691.0|Palomar||
CI|RPV|33.74346|-118.40412|107.0|Rancho Palos Verdes||
CI|RRX|34.87499|-116.99681|676.213623|Barstow Service Center||
CI|SBC|34.44076|-119.71492|94.0|Santa Barbara||
CI|SCI2|32.9799|-118.54697|199.0|San Clemente Island 2||
CI|SCZ2|33.99543|-119.6351|440.0|Santa Cruz Island 2||
CI|SHO|35.89953|-116.2753|451.0|Shoshone||
CI|SLA|35.89095|-117.28332|1174.0|Slate Mountain||
CI|SMM|35.3142|-119.99581|599.0|Simmler||
CI|SNCC|33.24787|-119.52437|275.0|San Nicolas Island||
CI|SVD|34.10647|-117.09822|605.0|Seven Oaks||
CI|SWS|32.94508|-115.79988|140.0|Sam W. Stewart||
CI|TIN|37.05422|-118.23009|1197.0|Tinemaha||
CI|TUQ|35.43584|-115.92389|1350.0|Turquoise Mountain||
CI|USC|34.01919|-118.28631|58.0|Univ Southern Ca||
CI|VES|35.84089|-119.08469|154.0|Vestal||
CI|VOG|36.32098|-119.38226|90.0|Valley Oaks Golf Course||
CI|VTV|34.56065|-117.3296|843.0|Victorville||
CM|HEL|6.1909|-75.529|2857.0|Santa Helena, Medellin, Colombia||
CM|LCBC|8.857167|-76.367667|75.0|Los Cordobas, Cordoba, Colombia||
CM|OCA|8.238833|-73.319333|1264.0|Ocana, Norte de Santander, Colombia||
CM|PRV|13.376167|-81.3635|38.0|Providencia, Archipielago de San Andres, Colombia||
CM|RUS|5.8925|-73.083167|3697.0|La Rusia, Boyaca, Colombia||
CM|SJC|9.896667|-75.1795|596.0|San Jacinto, Bolivar, Colombia||
CM|SMAR|11.163833|-74.2245|122.0|Santa Marta, Magdalena, Colombia||
CM|URI|11.702|-71.993|68.0|Uribia, Guajira, Colombia||
CN|A11|47.2431|-70.1969|55.0|St-Roch-Des-Aulnaies, QC, CA||
CN|A16|47.468|-70.0096|13.0|Riviere Ouelle, QC, CA||
CN|A21|47.7045|-69.6892|47.0|St-Andre, QC, CA||
CN|A54|47.4568|-70.4134|377.0|Misere, QC, CA||
CN|A61|47.6936|-70.0914|380.0|Sainte Mathilde, QC, CA||
CN|A64|47.8274|-69.8914|132.0|Saint-Simeon, QC, CA||
CN|ALRN|82.4968|-62.3525|89.0|CFB Alert, NU, NU, CA||
CN|ATLI|59.5898|-133.7147|793.0|Atlin, BC, CA||
CN|BAIB|52.5757|-131.7534|804.0|Barry Inlet, BC, CA||
CN|BBB|52.1847|-128.1133|14.0|Bella Bella, BC, CA||
CN|BCLQ|46.9264|-71.1727|147.0|Boischatel, QC, CA||
CN|BFSB|48.8336|-125.136|33.0|Bamfield, BC, CA||
CN|BJBQ|50.2874|-62.8094|6.0|Baie Johan Beetz, QC, CA||
CN|BLKN|64.3185|-96.0024|40.0|Baker Lake, NU, CA||
CN|BMTB|56.0451|-122.1332|1099.0|Bullhead Mountain, BC, CA||
CN|BNAB|53.4932|-130.6368|-19.0|Bonilla, BC, CA||
CN|BOIB|49.3903|-123.3788|470.0|Bowen Island, BC, CA||
CN|BOIN|46.4612|-66.4088|100.0|Boiestown, NB, CA||
CN|BPEB|50.1566|-127.7719|737.0|Brooks Peninsula, BC, CA||
CN|BRWY|61.3704|-139.0338|802.5|Burwash Landing, YT, CA||
CN|BVCY|62.4141|-140.8606|708.0|Beaver Creek, YT, CA||
CN|CACQ|47.9481|-69.4996|6.0|Cacouna, QC, CA||
CN|CALQ|45.5858|-75.8084|262.0|Cantley, QC, CA||
CN|CBB|50.0315|-125.3652|277.0|Campbell River, BC, CA||
CN|CHEG|46.8083|-60.6745|443.0|Cheticamp, NS, CA||
CN|CHRO|46.0376|-77.3794|180.0|Chalk River, ON, CA||
CN|CLRN|70.4743|-68.5871|9.0|Clyde River, NU, CA||
CN|CLRS|48.8203|-124.1309|174.0|Cowichan Lake Research St, BC, CA||
CN|CNOQ|49.302|-68.0746|194.0|Cote-Nord, QC, CA||
CN|CROWY|67.6136|-139.8717|564.0|Old Crow, YT, CA||
CN|DAWY|64.0647|-139.3937|771.0|Dawson, YT, CA||
CN|DI2B|53.2022|-132.4767|82.0|Dawson Inlet, BC, CA||
CN|DIB|53.2025|-132.4767|68.0|Dawson Inlet, BC, CA||
CN|DLBC|58.4368|-130.0304|976.0|Dease Lake, BC, CA||
CN|DPQ|46.6803|-72.7771|179.0|St-Jean-Des-Piles, QC, CA||
CN|DRLN|49.2562|-57.5032|241.0|Deer Lake, NL, CA||
CN|EAGLY|66.3701|-136.7191|717.0|Eagle Plains, YT, CA||
CN|EDB|49.873|-127.1216|150.0|Eliza Dome, BC, CA||
CN|EDM|53.223|-113.3497|727.0|Edmonton, AB, CA||
CN|EDUN|47.3708|-68.3155|199.0|Edmundston, NB, CA||
CN|EFO|43.0925|-79.3099|137.0|Effingham, ON, CA||
CN|EPLO|49.6737|-93.7258|437.3|Exp. Lake, ON, CA||
CN|FCC|58.7592|-94.0884|19.0|Fort Churchill, MB, CA||
CN|FHBB|50.0605|-127.1146|12.0|Fair Harbour, BC, CA||
CN|FNSB|58.8061|-122.7328|440.0|Fort Nelson, BC, CA||
CN|FRB|63.7469|-68.5451|25.0|Iqaluit, NU, CA||
CN|FSJB|54.4588|-124.2944|704.0|Fort St James, BC, CA||
CN|GAC|45.7032|-75.4776|167.2|Glen Almond, QC, CA||
CN|GBN|45.4079|-61.5128|47.0|Guysborough, NS, CA||
CN|GDR|49.7805|-126.0557|123.0|Gold River, BC, CA||
CN|GGN|45.1184|-66.842|28.0|Saint George, NB, CA||
CN|GHNB|49.3065|-124.2364|5.0|Greg House Nanoose, BC, CA||
CN|GOBB|48.9493|-123.5105|173.0|Galiano Island, BC, CA||
CN|GRQ|46.6059|-75.8587|303.0|Grand-Remous, QC, CA||
CN|GTOO|49.7451|-86.9613|359.0|Geraldton, ON, CA||
CN|HAL|44.6378|-63.5912|65.0|Halifax, NS, CA||
CN|HG1B|52.9345|-132.1307|5.0|Mitchell Dam, BC, CA||
CN|HOLB|50.6402|-128.1331|547.0|Holberg, BC, CA||
CN|HOPB|49.3872|-121.4206|236.0|Hope, BC, CA||
CN|HSNB|47.2769|-66.0601|337.0|Heath Steele Mine, NB, CA||
CN|HYT|60.8267|-137.5072|1373.0|Haines Jct., YT, CA||
CN|ICQ|49.5223|-67.2715|58.0|Islets-Caribou, QC, CA||
CN|ILON|69.3712|-81.8243|50.0|Igloolik, NU, CA||
CN|INK|68.3065|-133.5254|44.0|Inuvik, NT, CA||
CN|JEDB|52.2931|-131.1976|328.0|Jedway, Haida Gwaii, BC, CA||
CN|KAPO|49.451|-82.5077|221.0|Kapuskasing, ON, CA||
CN|KGNO|44.2272|-76.4934|89.0|Kingston, ON, CA||
CN|KILO|48.4972|-79.7232|314.0|Kirkland Lake, ON, CA||
CN|KIPQ|46.7919|-79.0567|274.0|Kipawa, QC, CA||
CN|KUKN|67.8227|-115.0897|51.0|Kugluktuk, NT, CA||
CN|KUQ|58.109|-68.4113|54.0|Kuujjuaq, QC, CA||
CN|LDAQ|47.9636|-71.2443|934.0|Lac Daran, QC, CA||
CN|LLLB|50.609|-121.8815|700.0|Lillooet, BC, CA||
CN|LMN|45.8544|-64.8063|365.0|Caledonia Mtn., NB, CA||
CN|LMQ|47.5485|-70.3258|455.0|La Malbaie, QC, CA||
CN|MAYB|50.4025|-127.1737|1418.0|Mount Maynard, BC, CA||
CN|MCNB|45.5958|-67.3198|167.0|McAdam, NB, CA||
CN|MGRB|48.9997|-124.6971|1310.0|Mount Grey, BC, CA||
CN|MNQ|50.5333|-68.7744|564.0|Manicouagan, QC, CA||
CN|MNTQ|45.5003|-73.6228|112.0|Montreal, QC, CA||
CN|MOBC|53.1437|-131.9663|704.0|Moresby, BC, CA||
CN|MORQ|45.3118|-72.2407|840.0|Mont Orford, QC, CA||
CN|MYRA|49.551|-125.5705|632.0|Myra Falls, BC, CA||
CN|NCSB|50.4031|-126.0559|1297.0|Newcastle Ridge, BC, CA||
CN|NDB|53.9538|-132.9399|687.0|Naden, BC, CA||
CN|NINL|56.5374|-61.6882|38.0|Nain, NL, CA||
CN|NLLB|49.2271|-123.9882|199.0|Nanaimo Lost Lake, BC, CA||
CN|NTKA|49.5924|-126.6166|12.0|Nootka, BC, CA||
CN|ORIO|45.4515|-75.511|74.0|Orleans Innes Road, ON, CA||
CN|OTAO|45.4069|-75.5526|21.0|Ottawa Anderson Road, ON, CA||
CN|OTT|45.3939|-75.7148|64.0|Ottawa, ON, CA||
CN|OZB|48.9612|-125.4978|626.0|Mt. Ozzard, BC, CA||
CN|PABB|49.2188|-124.8114|36.0|Port Alberni, BC, CA||
CN|PACB|50.4355|-127.4925|24.0|Port Alice, BC, CA||
CN|PAULN|69.3475|-124.0703|10.0|Paulatuk, NT, CA||
CN|PCLB|53.7155|-132.5211|492.0|Port Clements, BC, CA||
CN|PGC|48.6498|-123.4521|12.0|Sidney, BC, CA||
CN|PHC|50.7067|-127.433|32.0|Port Hardy, BC, CA||
CN|PKLO|51.4987|-90.3522|376.2|Pickle Lake, ON, CA||
CN|PLBC|59.455|-136.3659|285.0|Pleasant Camp, BC, CA||
CN|PMAQ|49.8285|-64.3269|25.0|Port Menier Anticosti Is, QC, CA||
CN|PNPO|48.5957|-86.2846|219.3|Pukaskwa, ON, CA||
CN|PNT|49.3224|-119.6254|531.0|Penticton, BC, CA||
CN|POIN|72.7012|-77.962|21.0|Pond Inlet, NU, CA||
CN|PTRF|48.5442|-124.4131|164.0|Port Renfrew PTRF, BC, CA||
CN|QEPB|49.2419|-123.1141|128.0|Queen Elizabeth Park, BC, CA||
CN|RES|74.6892|-94.8962|19.0|Resolute, NU, CA||
CN|RUBB|54.3262|-130.2523|12.0|Prince Rupert, BC, CA||
CN|SACHN|71.9871|-125.2472|32.0|Sachs Harbour, NT, CA||
CN|SADO|44.7695|-79.1411|228.0|Sadowa, ON, CA||
CN|SAKN|56.5359|-79.2324|2.0|Sanikiluaq, NU, CA||
CN|SCHQ|54.8324|-66.8332|497.5|Schefferville, QC, CA||
CN|SHB|49.5985|-123.8771|1129.0|Sechelt, BC, CA||
CN|SHPB|49.3476|-126.2598|26.0|Sharp Point, BC, CA||
CN|SJNN|47.5951|-52.678|143.0|St. Johns, NL, CA||
CN|SMQ|50.2225|-66.7025|344.0|Ste-Marguerite, QC, CA||
CN|SNFQ|48.888|-67.3511|65.0|Sainte-Felicite, QC, CA||
CN|SOLO|50.0215|-92.0808|370.0|Sioux Lookout, ON, CA||
CN|SUBO|46.6115|-81.1321|281.0|Sudbury, ON, CA||
CN|SYMB|48.5593|-123.7989|945.0|Survey Mountain, BC, CA||
CN|TAHB|49.8925|-126.677|455.0|Tahsis, BC, CA||
CN|TBO|48.6472|-89.4085|475.0|Thunder Bay, ON, CA||
CN|TOFB|49.1543|-125.9078|13.0|Tofino, BC, CA||
CN|TRQ|46.2176|-74.5513|860.0|Mont-Tremblant, QC, CA||
CN|TXDB|49.6979|-124.4377|501.0|Texada, BC, CA||
CN|ULM|50.2503|-95.875|250.9|Lac Du Bonnet, MB, CA||
CN|VDEB|49.057|-122.0571|351.0|Vedder Mountain, BC, CA||
CN|VGZ|48.4131|-123.3251|67.0|Victoria Gonzales, BC, CA||
CN|VLDQ|48.1901|-77.7572|316.0|Val-dOr, QC, CA||
CN|WALA|49.059|-113.911|1400.0|Waterton Lake, AB, CA||
CN|WBO|45.0012|-75.2753|840.0|Williamsburg, ON, CA||
CN|WHY|60.6597|-134.8825|1273.0|Whitehorse, YT, CA||
CN|WOSB|50.1608|-126.5704|961.0|Woss, BC, CA||
CN|WPB|49.6478|-123.2094|260.0|Watts Point, BC, CA||
CN|WSLR|50.1266|-122.9212|907.0|Whistler, BC, CA||
CN|YKAB0|62.6059|-114.606|196.0|Yellowknife Blue 10, NT, CA||
CN|YKAB1|62.4023|-114.6063|146.0|Yellowknife Blue 1, NT, CA||
CN|YKAB2|62.4247|-114.6064|151.8|Yellowknife Blue 2, NT, CA||
CN|YKAB3|62.4485|-114.6061|159.5|Yellowknife Blue 3, NT, CA||
CN|YKAB4|62.4709|-114.6057|164.8|Yellowknife Blue 4, NT, CA||
CN|YKAB6|62.5164|-114.6057|174.6|Yellowknife Blue 6, NT, CA||
CN|YKAB7|62.5389|-114.6061|178.0|Yellowknife Blue 7, NT, CA||
CN|YKAB8|62.5614|-114.6054|171.5|Yellowknife Blue 8, NT, CA||
CN|YKAB9|62.5829|-114.6047|188.3|Yellowknife Blue 9, NT, CA||
CN|YKAR1|62.4928|-114.9445|142.0|Yellowknife Red 1, NT, CA||
CN|YKAR2|62.4928|-114.8959|146.2|Yellowknife Red 2, NT, CA||
CN|YKAR3|62.4929|-114.8477|147.6|Yellowknife Red 3, NT, CA||
CN|YKAR4|62.4927|-114.7998|150.1|Yellowknife Red 4, NT, CA||
CN|YKAR5|62.4931|-114.7504|155.3|Yellowknife Red 5, NT, CA||
CN|YKAR6|62.4932|-114.7019|162.0|Yellowknife Red 6, NT, CA||
CN|YKAR7|62.4932|-114.6544|168.5|Yellowknife Red 7, NT, CA||
CN|YKAR8|62.4931|-114.6061|168.0|Yellowknife Red 8, NT, CA||
CN|YKAR9|62.493|-114.5564|172.6|Yellowknife Red 9, NT, CA||
CN|YKAW1|62.4822|-114.4842|198.2|Yellowknife White 1, NT, CA||
CN|YKAW3|62.5616|-114.6099|196.6|Yellowknife White 3, NT, CA||
CN|YUK3|61.7755|-140.4595|2100.0|Moose Creek, YT, CA||
CN|YUK4|61.4348|-138.5463|2009.0|Talbot Arm, YT, CA||
CN|YUK5|61.1315|-137.8593|1619.0|Granite Creek, YT, CA||
CN|YUK6|60.9432|-138.3626|2233.0|Outpost Mountain, YT, CA||
CN|YUK7|60.5307|-138.1399|1992.0|Dusty Glacier, YT, CA||
CN|YUK8|61.2844|-139.7646|2456.0|Steele Glacier, YT, CA||
CO|BARN|34.13742|-80.69453|73.05|Farm at One Under Lane, Elgin SC||
CO|BELLE|33.3349|-79.2446|2.37|Hobcaw Barony||
CO|BIRD|34.645|-80.4615|132.0|Birdtown, Kershaw, SC, USA||
CO|C1SC|32.798|-79.959|5.0|The Citadel,Charleston,SC||
CO|CASEE|34.993|-82.9317|385.0|Lake Jocassee, SC, USA||
CO|CSB|32.98698|-80.071545|6.0|Charleston Southern University, Charleston, SC, USA||
CO|HAW|33.3612|-81.6097|112.0|Hawthorne Fire Tower, SC, USA||
CO|HODGE|34.2315|-82.2586|151.0|Hodges, SC, USA||
CO|JSC|34.2818|-81.25966|103.0|Jenkinsville, South Carolina||
CO|PAULI|34.82097|-81.8144|179.0|Pauline, SC, USA||
CO|SUMMV|33.0658|-80.2738|17.1|Summerville Airport, SC, USA||
CO|TEEBA|32.8975|-80.1911|11.22|Mateeba, Summerville SC||
CU|ANWB|17.6684|-61.78562|9.0|North Barbuda Island||
CU|BBGH|13.1434|-59.5588|180.0|Gun Hill, Barbados||
CU|BCIP|9.1665|-79.8373|61.0|Isla Barro Colorado, Panama||
CU|GRGR|12.13237|-61.65407|191.0|Grenville, Grenada||
CU|GRTK|21.511472|-71.13425|13.0|Grand Turk, Turks and Caicos Islands||
CU|GTBY|19.9268|-75.1108|79.2|Guantanamo Bay, Cuba||
CU|MTDJ|18.22605|-77.53454|925.0|Mount Denham, Jamaica||
CU|SDDR|18.982121|-71.287836|589.0|Presa de Sabenta, Dominican Republic||
CU|TGUH|14.057|-87.273|1160.0|Tegucigalpa, Honduras||
CW|CAIB|22.497055|-79.47097|33.0|Caibarien, Villa Clara||
CW|CAMR|23.061737|-81.370857|57.0|Camariocas, Cardenas, Matanzas||
CW|CCCC|21.193399|-77.417297|89.6|Cascorrro,Camaguey,Cuba||
CW|CHIV|19.97648|-76.415131|20.0|Chivirico, Guama, Santiago de Cuba||
CW|MARV|20.005285|-75.906555|100.0|Mar Verde, Santiago de Cuba||
CW|MASC|20.175501|-74.231201|413.6|Maisi,Guantanamo,Cuba||
CY|FSCY|19.312851|-81.183533|1.7|Frank Sound, Grand Cayman, Cayman Islands||
CZ|DPC|50.3502|16.3222|748.0|Dobruska/Polom||
CZ|HSKC|50.60745|13.43198|590.0|Hora Svate Kateriny||
CZ|JAVC|48.8591|17.6707|828.0|Velka Javorina||
CZ|KHC|49.1309|13.5782|700.0|Kasperske Hory||
CZ|KRLC|50.0966|16.8341|614.0|Kraliky||
CZ|KRUC|49.0619|16.3952|341.0|Moravsky Krumlov||
CZ|MAUC|49.3655|17.8278|659.0|Maruska||
CZ|MORC|49.7768|17.5425|742.0|Moravsky Beroun||
CZ|NKC|50.2331|12.4479|564.0|Novy Kostel||
CZ|OKC|49.8346|18.14|250.0|Ostrava/Krasne Pole||
CZ|PRA|50.0703|14.4331|225.0|Praha||
CZ|PRIC|49.6693|12.6782|740.0|Primda||
CZ|PRU|49.9883|14.5417|302.0|Pruhonice||
CZ|PVCC|50.5282|14.5689|311.0|Panska Ves||
CZ|SKAC|50.5678|14.1357|349.0|Skalice||
CZ|STAC|49.029533|15.299556|627.0|Stalkov||
CZ|TREC|49.2948|15.4871|559.0|Trest||
CZ|UPC|50.5074|16.0121|416.0|Upice||
CZ|VRAC|49.3084|16.5933|470.0|Vranov||
CZ|ZVC|49.4392|14.1928|373.0|Zvikov||
DK|ANGG|65.616388|-37.63704|29.0|Z||
DK|BSD|55.11389|14.91469|88.0|Skovbrynet, Bornholm||
DK|DBG|74.307055|-20.219193|30.0|Daneborg, Greenland ||
DK|GDH|69.25|-53.533|23.0|Station Qeqertarsuaq, Greenland||
DK|ISOG|65.547981|-38.975775|19.0|Z||
DK|MUD|56.455|9.1733|12.0|Station Monsted Kalkmine, Denmark||
DK|NIAQ|70.788778|-53.66405|66.0|Z||
DK|NRS|61.159566|-45.418535|36.0|Z||
DK|SCO|70.485536|-21.949715|74.0|Ittoqqortoormiit, Greenland||
DR|SDD|18.4632|-69.9169|34.0|Santo Domingo, DR||
EC|ANTS|-0.4973|-78.170403|4580.0|OVANTI_S||
EC|ARNL|-3.5478|-80.067001|44.0|RENSIG, RENAC||
